customer_id,age,gender,city_tier,tenure_months,subscription_type,contract_type,avg_monthly_spend_usd,website_visits_last_30d,app_sessions_last_30d,support_tickets_last_90d,late_payments_last_12m,discount_usage_rate,email_open_rate,nps_score,products_owned,returns_last_12m,days_since_last_purchase,marketing_channel,estimated_clv_usd,clv_segment,churned,engagement_score,spend_per_tenure,support_intensity,payment_reliability,clv_spend_ratio,recency_bucket,age_group,tenure_category,nps_category,risk_score,high_risk,digital_preference,discount_dependency
CUST100000,41,Female,Tier 3,10,Basic,Annual,144.8,9,23,1,0,0.108,0.907,33,2,0,36,Email,1770.42,Medium,0,32,14.48,0.1,1.0,1.0188881215469612,Moderate,36-45,Early (6-12m),Passive,0,0,0.71875,0.010043999999999997
CUST100002,43,Male,Tier 1,21,Premium,Monthly,49.45,16,16,3,0,0.315,0.776,38,5,1,25,Organic Search,996.42,Low,0,32,2.354761904761905,0.14285714285714285,1.0,1.6791708796764406,Recent,36-45,Developing (1-2y),Passive,1,0,0.5,0.07056
CUST100003,53,Male,Tier 2,45,Basic,Monthly,198.96,13,17,2,1,0.432,0.669,52,4,0,67,Social Media,6141.9,High,0,30,4.421333333333333,0.044444444444444446,0.8333333333333334,2.5725020104543623,Distant,46-55,Established (2-4y),Promoter,1,0,0.5666666666666667,0.14299199999999998
CUST100004,33,Male,Tier 1,7,Standard,Monthly,42.1,16,11,1,3,0.239,0.527,40,1,1,24,Email,431.52,Low,0,27,6.014285714285714,0.14285714285714285,0.5,0.8541567695961995,Recent,26-35,Early (6-12m),Passive,1,0,0.4074074074074074,0.113047
CUST100005,33,Male,Tier 1,64,Basic,Monthly,99.19,13,13,2,1,0.452,0.275,37,4,1,98,Social Media,2989.09,Medium,1,26,1.54984375,0.03125,0.8333333333333334,2.5112494539100045,Very Distant,26-35,Loyal (4y+),Passive,2,0,0.5,0.3277
CUST100006,53,Female,Tier 3,64,Standard,Monthly,112.33,8,16,2,1,0.265,0.56,35,4,1,66,Social Media,4513.42,High,0,24,1.75515625,0.03125,0.8333333333333334,3.348333778450399,Distant,46-55,Loyal (4y+),Passive,1,0,0.6666666666666666,0.1166
CUST100007,44,Female,Tier 1,2,Standard,Monthly,173.91,9,21,2,1,0.696,0.238,27,7,2,23,Paid Ads,1982.57,Medium,0,30,86.955,1.0,0.8333333333333334,0.949998083299791,Recent,36-45,New (<6m),Passive,1,0,0.7,0.5303519999999999
CUST100009,42,Female,Tier 3,54,Basic,Quarterly,133.7,13,17,2,2,0.294,0.758,33,6,0,27,Email,5230.34,High,0,30,2.475925925925926,0.037037037037037035,0.6666666666666667,3.2599975068561458,Recent,36-45,Loyal (4y+),Passive,1,0,0.5666666666666667,0.07114799999999999
CUST100010,31,Male,Tier 2,16,Basic,Annual,74.93,17,22,1,1,0.56,0.247,53,6,1,35,Paid Ads,1384.21,Medium,0,39,4.683125,0.0625,0.8333333333333334,1.539447929178344,Moderate,26-35,Developing (1-2y),Promoter,1,0,0.5641025641025641,0.42168000000000005
CUST100011,31,Male,Tier 1,18,Basic,Monthly,143.24,10,17,0,1,0.547,0.351,29,3,2,56,Paid Ads,1791.93,Medium,1,27,7.957777777777778,0.0,0.8333333333333334,1.0424986037419715,Moderate,26-35,Developing (1-2y),Passive,0,0,0.6296296296296297,0.355003
