customer_id,age,age_group_18-25,age_group_26-35,age_group_36-45,age_group_46-55,age_group_55+,app_sessions_last_30d,avg_monthly_spend_usd,city_tier_Tier 1,city_tier_Tier 2,city_tier_Tier 3,clv_segment_High,clv_segment_Low,clv_segment_Medium,clv_spend_ratio,contract_type_Annual,contract_type_Monthly,contract_type_Quarterly,days_since_last_purchase,digital_preference,discount_dependency,discount_usage_rate,email_open_rate,engagement_score,estimated_clv_usd,gender_Female,gender_Male,gender_Other,high_risk,late_payments_last_12m,marketing_channel_Email,marketing_channel_Organic Search,marketing_channel_Paid Ads,marketing_channel_Referral,marketing_channel_Social Media,nps_category_Detractor,nps_category_Passive,nps_category_Promoter,nps_score,payment_reliability,products_owned,recency_bucket_Distant,recency_bucket_Moderate,recency_bucket_Recent,recency_bucket_Very Distant,recency_bucket_Very Recent,returns_last_12m,risk_score,spend_per_tenure,subscription_type_Basic,subscription_type_Premium,subscription_type_Standard,support_intensity,support_tickets_last_90d,tenure_category_Developing (1-2y),tenure_category_Early (6-12m),tenure_category_Established (2-4y),tenure_category_Loyal (4y+),tenure_category_New (<6m),tenure_months,website_visits_last_30d,churned
CUST100000,41,False,False,True,False,False,23,144.8,False,False,True,False,False,True,1.0188881215469612,True,False,False,36,0.71875,0.010043999999999997,0.108,0.907,32,1770.42,True,False,False,0,0,True,False,False,False,False,False,True,False,33,1.0,2,False,True,False,False,False,0,0,14.48,True,False,False,0.1,1,False,True,False,False,False,10,9,0
CUST100002,43,False,False,True,False,False,16,49.45,True,False,False,False,True,False,1.6791708796764406,False,True,False,25,0.5,0.07056,0.315,0.776,32,996.42,False,True,False,0,0,False,True,False,False,False,False,True,False,38,1.0,5,False,False,True,False,False,1,1,2.354761904761905,False,True,False,0.14285714285714285,3,True,False,False,False,False,21,16,0
CUST100003,53,False,False,False,True,False,17,198.96,False,True,False,True,False,False,2.5725020104543623,False,True,False,67,0.5666666666666667,0.14299199999999998,0.432,0.669,30,6141.9,False,True,False,0,1,False,False,False,False,True,False,False,True,52,0.8333333333333334,4,True,False,False,False,False,0,1,4.421333333333333,True,False,False,0.044444444444444446,2,False,False,True,False,False,45,13,0
CUST100004,33,False,True,False,False,False,11,42.1,True,False,False,False,True,False,0.8541567695961995,False,True,False,24,0.4074074074074074,0.113047,0.239,0.527,27,431.52,False,True,False,0,3,True,False,False,False,False,False,True,False,40,0.5,1,False,False,True,False,False,1,1,6.014285714285714,False,False,True,0.14285714285714285,1,False,True,False,False,False,7,16,0
CUST100005,33,False,True,False,False,False,13,99.19,True,False,False,False,False,True,2.5112494539100045,False,True,False,98,0.5,0.3277,0.452,0.275,26,2989.09,False,True,False,0,1,False,False,False,False,True,False,True,False,37,0.8333333333333334,4,False,False,False,True,False,1,2,1.54984375,True,False,False,0.03125,2,False,False,False,True,False,64,13,1
CUST100006,53,False,False,False,True,False,16,112.33,False,False,True,True,False,False,3.348333778450399,False,True,False,66,0.6666666666666666,0.1166,0.265,0.56,24,4513.42,True,False,False,0,1,False,False,False,False,True,False,True,False,35,0.8333333333333334,4,True,False,False,False,False,1,1,1.75515625,False,False,True,0.03125,2,False,False,False,True,False,64,8,0
CUST100007,44,False,False,True,False,False,21,173.91,True,False,False,False,False,True,0.949998083299791,False,True,False,23,0.7,0.5303519999999999,0.696,0.238,30,1982.57,True,False,False,0,1,False,False,True,False,False,False,True,False,27,0.8333333333333334,7,False,False,True,False,False,2,1,86.955,False,False,True,1.0,2,False,False,False,False,True,2,9,0
CUST100009,42,False,False,True,False,False,17,133.7,False,False,True,True,False,False,3.2599975068561458,False,False,True,27,0.5666666666666667,0.07114799999999999,0.294,0.758,30,5230.34,True,False,False,0,2,True,False,False,False,False,False,True,False,33,0.6666666666666667,6,False,False,True,False,False,0,1,2.475925925925926,True,False,False,0.037037037037037035,2,False,False,False,True,False,54,13,0
CUST100010,31,False,True,False,False,False,22,74.93,False,True,False,False,False,True,1.539447929178344,True,False,False,35,0.5641025641025641,0.42168000000000005,0.56,0.247,39,1384.21,False,True,False,0,1,False,False,True,False,False,False,False,True,53,0.8333333333333334,6,False,True,False,False,False,1,1,4.683125,True,False,False,0.0625,1,True,False,False,False,False,16,17,0
CUST100011,31,False,True,False,False,False,17,143.24,True,False,False,False,False,True,1.0424986037419715,False,True,False,56,0.6296296296296297,0.355003,0.547,0.351,27,1791.93,False,True,False,0,1,False,False,True,False,False,False,True,False,29,0.8333333333333334,3,False,True,False,False,False,2,0,7.957777777777778,True,False,False,0.0,0,True,False,False,False,False,18,10,1
