feature,xgb_imp,lgbm_imp,xgb_rank,lgbm_rank,avg_rank
clv_spend_ratio,0.039830368,0.2947882736156352,5.0,1.0,3.0
tenure_months,0.02546736,0.21294788273615636,8.0,2.0,5.0
support_intensity,0.037286427,0.020765472312703582,6.0,8.5,7.25
avg_monthly_spend_usd,0.01844883,0.04030944625407166,12.0,5.0,8.5
days_since_last_purchase,0.021384027,0.03420195439739414,11.0,6.0,8.5
tenure_category_Loyal (4y+),0.08454517,0.011807817589576547,2.0,16.0,9.0
risk_score,0.07466616,0.008550488599348535,3.0,18.5,10.75
products_owned,0.012289448,0.08957654723127036,20.0,3.0,11.5
email_open_rate,0.015941514,0.020765472312703582,15.0,8.5,11.75
support_tickets_last_90d,0.025458956,0.012622149837133551,9.0,15.0,12.0
discount_usage_rate,0.01448128,0.019543973941368076,17.0,10.0,13.5
estimated_clv_usd,0.009530091,0.04234527687296417,24.0,4.0,14.0
payment_reliability,0.04332567,0.004478827361563518,4.0,25.0,14.5
nps_score,0.014185511,0.019136807817589578,18.0,11.0,14.5
spend_per_tenure,0.01023005,0.033794788273615636,22.0,7.0,14.5
tenure_category_Established (2-4y),0.022873286,0.005700325732899023,10.0,22.0,16.0
digital_preference,0.01337116,0.015472312703583062,19.0,14.0,16.5
tenure_category_Developing (1-2y),0.03043671,0.004071661237785016,7.0,26.0,16.5
website_visits_last_30d,0.016986528,0.007328990228013029,14.0,21.0,17.5
app_sessions_last_30d,0.015174129,0.005293159609120521,16.0,23.0,19.5
discount_dependency,0.008503995,0.016286644951140065,27.0,12.5,19.75
engagement_score,0.0087409355,0.008550488599348535,26.0,18.5,22.25
late_payments_last_12m,0.007932687,0.009771986970684038,30.0,17.0,23.5
age,0.0042447993,0.016286644951140065,35.0,12.5,23.75
clv_segment_High,0.32574138,0.00040716612377850165,1.0,49.5,25.25
contract_type_Annual,0.011716667,0.002035830618892508,21.0,31.5,26.25
tenure_category_New (<6m),0.005022473,0.008143322475570033,33.0,20.0,26.5
returns_last_12m,0.0068217684,0.004885993485342019,31.0,24.0,27.5
high_risk,0.009620831,0.0016286644951140066,23.0,36.0,29.5
recency_bucket_Distant,0.008299595,0.002035830618892508,29.0,31.5,30.25
tenure_category_Early (6-12m),0.017469333,0.00040716612377850165,13.0,49.5,31.25
subscription_type_Standard,0.006737503,0.002035830618892508,32.0,31.5,31.75
gender_Female,0.0048185904,0.002035830618892508,34.0,31.5,32.75
contract_type_Quarterly,0.008852593,0.0008143322475570033,25.0,42.5,33.75
marketing_channel_Referral,0.004128487,0.0016286644951140066,36.0,36.0,36.0
city_tier_Tier 1,0.0,0.0028501628664495114,50.0,27.0,38.5
clv_segment_Medium,0.0,0.0024429967426710096,50.0,28.0,39.0
city_tier_Tier 2,0.004127748,0.0008143322475570033,37.0,42.5,39.75
recency_bucket_Very Distant,0.0028401727,0.0008143322475570033,38.0,42.5,40.25
marketing_channel_Social Media,0.0,0.002035830618892508,50.0,31.5,40.75
contract_type_Monthly,0.0,0.002035830618892508,50.0,31.5,40.75
recency_bucket_Moderate,0.008467805,0.0,28.0,57.0,42.5
subscription_type_Basic,0.0,0.0016286644951140066,50.0,36.0,43.0
marketing_channel_Paid Ads,0.0,0.0012214983713355048,50.0,38.0,44.0
clv_segment_Low,0.0,0.0008143322475570033,50.0,42.5,46.25
age_group_36-45,0.0,0.0008143322475570033,50.0,42.5,46.25
marketing_channel_Organic Search,0.0,0.0008143322475570033,50.0,42.5,46.25
nps_category_Promoter,0.0,0.0008143322475570033,50.0,42.5,46.25
nps_category_Passive,0.0,0.0008143322475570033,50.0,42.5,46.25
nps_category_Detractor,0.0,0.00040716612377850165,50.0,49.5,49.75
gender_Male,0.0,0.00040716612377850165,50.0,49.5,49.75
city_tier_Tier 3,0.0,0.00040716612377850165,50.0,49.5,49.75
marketing_channel_Email,0.0,0.00040716612377850165,50.0,49.5,49.75
age_group_46-55,0.0,0.0,50.0,57.0,53.5
age_group_18-25,0.0,0.0,50.0,57.0,53.5
age_group_26-35,0.0,0.0,50.0,57.0,53.5
gender_Other,0.0,0.0,50.0,57.0,53.5
age_group_55+,0.0,0.0,50.0,57.0,53.5
recency_bucket_Very Recent,0.0,0.0,50.0,57.0,53.5
recency_bucket_Recent,0.0,0.0,50.0,57.0,53.5
subscription_type_Premium,0.0,0.0,50.0,57.0,53.5
